"c_date";"c_no";"c_sum";"c_type";"c_comment";"c_receipt_id";"c_submit_date";"c_type";"c_pay_date";"c_no";"c_status";"r_comment"
"2017-03-14";"NT016";30;1;"加班 2017-03-14 2.5h";19;"2018-03-07";0;"";"869";1;"历史记录的销账"
"2017-03-15";"NT016";30;1;"加班 2017-03-15 2.5h";19;"2018-03-07";0;"";"869";1;"历史记录的销账"
"2017-12-23";"NT015";30;1;"加班 2017-12-23 8h";27;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"含金凤霞30元#52  实际报销819多报销7元"
"2017-12-16";"NT012";30;1;"加班 2017-12-16 7h";4;"2018-02-20";0;"2018-02-20 00:00:00";"NT012";1;"报销功能上线历史记录数据修正"
"2018-11-28";"NT020";46;3;"分屏器";61;"2019-01-16";2;"";"NT020";0;""
"2016-12-25";"869";30;1;"加班 2016-12-25 6.5h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2016-12-01";"869";30;1;"加班 2016-12-01 3h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2016-12-08";"869";30;1;"加班 2016-12-08 3.5h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-01-24";"869";30;1;"加班 2017-01-24 3.5h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-02-05";"869";30;1;"加班 2017-02-05 6h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-03-03";"869";30;1;"加班 2017-03-03 2.5h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-03-04";"869";30;1;"加班 2017-03-04 6h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-03-14";"869";30;1;"加班 2017-03-14 4h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
"2017-04-01";"869";30;1;"加班 2017-04-01 7h";6;"2018-02-20";0;"2018-02-20 00:00:00";"869";1;"报销功能上线历史记录数据修正"
